time,command,vx,vy,vz,yawRate,x,y,z,roll,pitch,yaw,lat,lon,alt
1770645373.1885295,right,0.0,50,0.0,0.0,130.50335693359375,73.70728302001953,-13.305398941040039,-0.1982472996354523,0.5261351149203298,-1.2071287819741616,47.642633051637915,-122.13917875273334,134.9922332763672
1770645373.2510824,right,0.0,50,0.0,0.0,130.7993621826172,73.5964584350586,-13.38479995727539,-0.09309568984914114,0.5325151803405341,-1.1448521354771,47.64263512143989,-122.13918000879235,135.0819091796875
1770645373.3126829,idle,0.0,0.0,0.0,0.0,131.14849853515625,73.47989654541016,-13.473870277404785,0.014764319974360153,0.5439061866956653,-1.080487999321754,47.64263744142727,-122.13918146608759,135.16722106933594
1770645373.374327,idle,0.0,0.0,0.0,0.0,131.49818420410156,73.37809753417969,-13.555434226989746,0.11672162931067892,0.45491965634180226,-1.022850610193584,47.642640022577446,-122.13918306217596,135.25364685058594
1770645373.4379842,idle,0.0,0.0,0.0,0.0,131.87164306640625,73.27770233154297,-13.620697975158691,0.25126155050434407,0.3099493046727883,-0.9646825025275312,47.642642837030635,-122.13918470364611,135.3405303955078
1770645373.4981787,idle,0.0,0.0,0.0,0.0,132.2289276123047,73.1890869140625,-13.663711547851562,0.34311509731017603,0.16879735739881183,-0.9373386457209043,47.64264587119941,-122.13918630632632,135.4290313720703
1770645373.5625784,idle,0.0,0.0,0.0,0.0,132.6347198486328,73.10649108886719,-13.71865177154541,0.4060353330063093,0.00047020009512960335,-0.9267510214349625,47.64264910092963,-122.13918779447211,135.51817321777344
1770645373.6365194,backward,-50,0.0,0.0,0.0,132.9733428955078,73.0544662475586,-13.784975051879883,0.4317959489431045,-0.1439743855614396,-0.9250534323726578,47.64265356263709,-122.13918960994373,135.61460876464844
1770645373.7005203,backward,-50,0.0,0.0,0.0,133.35525512695312,73.00936126708984,-13.878771781921387,0.4743683749744737,-0.13090087414222212,-0.9291662253151423,47.642656936471674,-122.13919086272357,135.66175842285156
1770645373.7619865,backward,-50,0.0,0.0,0.0,133.65264892578125,72.9861831665039,-13.964726448059082,0.5066477416888737,-0.118618947078552,-0.9316645643819799,47.64266028093565,-122.13919190735822,135.7093505859375
1770645373.8247366,backward,-50,0.0,0.0,0.0,133.9812774658203,72.98099517822266,-14.083694458007812,0.5317169595853919,-0.10779306581256219,-0.932891470983012,47.64266350654647,-122.13919267562085,135.77587890625
1770645373.8879068,backward,-50,0.0,0.0,0.0,134.23052978515625,72.99766540527344,-14.197381019592285,0.5449532228348415,-0.10324180879103173,-0.9331950424596519,47.64266655113729,-122.1391932359462,135.8565673828125
1770645373.949166,backward,-50,0.0,0.0,0.0,134.45689392089844,73.03457641601562,-14.32482624053955,0.5537576149154914,-0.0999436921544889,-0.933185371255359,47.64266941155328,-122.13919361757507,135.94406127929688
1770645374.012842,backward,-50,0.0,0.0,0.0,134.66015625,73.09233856201172,-14.466108322143555,0.559614161085916,-0.09734439978496313,-0.9330267061470653,47.64267206473709,-122.13919375999416,136.0438690185547
1770645374.0763597,backward,-50,0.0,0.0,0.0,134.8736114501953,73.1895980834961,-14.653573036193848,0.5641156833498813,-0.09445329149076345,-0.9327609979287789,47.642674498611186,-122.13919362959591,136.15794372558594
1770645374.1398458,backward,-50,0.0,0.0,0.0,135.01925659179688,73.28826141357422,-14.815312385559082,0.56640549153193,-0.09276808605529091,-0.9325406099141857,47.642676706725155,-122.1391932067844,136.28704833984375
1770645374.1997626,backward,-50,0.0,0.0,0.0,135.1566162109375,73.41941833496094,-15.006979942321777,0.5680895148102415,-0.0909331178486232,-0.932311611966072,47.642678051899644,-122.13919275667082,136.38160705566406
